Rank,Player Name,Division,Weighted Points,Raw Points,Kills,Damage,Lobby,Lobby Weight
187,[Experimental AI Bot]29.319.17,Ascendant,86.40,135,24,0,3,0.64
188,CantGetAway,Pinnacle (Highest Skill),86.00,86,11,0,1,1.00
189,HotKnockz,Pinnacle (Highest Skill),86.00,86,24,0,1,1.00
190,@ArtemisGG_,Emergent,85.17,167,19,0,4,0.51
191,Mootzel,Emergent,84.66,166,37,0,4,0.51
192,FSU_TacticalMyst,Challengers,84.05,205,26,0,5,0.41
193,Graffix,Vanguard,82.40,103,8,0,2,0.80
194,TONYPIKACHU,Vanguard,82.40,103,12,0,2,0.80
195,ZeroGLHF,Vanguard,82.40,103,11,0,2,0.80
196,Unix_IRL,Vanguard,81.60,102,17,0,2,0.80
197,chris k,Pinnacle (Highest Skill),81.00,81,14,0,1,1.00
198,DEKTA_TTV,Vanguard,80.80,101,21,0,2,0.80
199,Exillade,Ascendant,80.00,125,22,0,3,0.64
200,Coveted Yams,Challengers,79.54,194,24,0,5,0.41
201,Eppie,Emergent,79.05,155,18,0,4,0.51
202,boobert,Emergent,78.54,154,44,0,4,0.51
203,Twitch | lAlliegatorl,Vanguard,78.40,98,16,0,2,0.80
204,fyf,Vanguard,78.40,98,14,0,2,0.80
205,CG BilliardHorn,Emergent,77.52,152,16,0,4,0.51
206,Kolosusx,Emergent,77.01,151,28,0,4,0.51
207,Nedlock ネドロック,Vanguard,76.00,95,17,0,2,0.80
208,:O,Emergent,75.99,149,27,0,4,0.51
209,Kitkat >:),Emergent,75.99,149,25,0,4,0.51
210,Bolbi Stroganovsky,Emergent,75.99,149,22,0,4,0.51
211,TH | BalynceLIVE,Ascendant,75.52,118,31,0,3,0.64
212,s,Vanguard,75.20,94,16,0,2,0.80
213,ehayes121,Challengers,75.03,183,42,0,5,0.41
214,Frogs,Emergent,74.46,146,34,0,4,0.51
215,K1ng13east,Emergent,74.46,146,20,0,4,0.51
216,SOAK Palms,Ascendant,74.24,116,19,0,3,0.64
217,MoistKnight2443,Challengers,74.21,181,24,0,5,0.41
218,Bungus Elite,Emergent,72.42,142,23,0,4,0.51
219,FTB | Hunkulesss,Challengers,72.16,176,27,0,5,0.41
220,FTB | steph,Challengers,72.16,176,24,0,5,0.41
221,ayla,Ascendant,71.68,112,15,0,3,0.64
222,ClarkGriswold,Ascendant,71.68,112,19,0,3,0.64
223,Cherm,Emergent,71.40,140,18,0,4,0.51
224,Karnivorrr,Challengers,70.52,172,17,0,5,0.41
225,TheGunner2533,Challengers,70.52,172,26,0,5,0.41
226,Majeta23,Vanguard,70.40,88,8,0,2,0.80
227,furryCheese,Vanguard,70.40,88,17,0,2,0.80
228,Frijol3s03,Vanguard,69.60,87,19,0,2,0.80
229,Eddy,Vanguard,69.60,87,10,0,2,0.80
230,F5 | ntROZE,Vanguard,69.60,87,21,0,2,0.80
231,ChefMike,Emergent,69.36,136,26,0,4,0.51
232,el diablo rojo,Ascendant,69.12,108,12,0,3,0.64
233,HecTicAstro,Ascendant,69.12,108,20,0,3,0.64
234,phokkyu,Emergent,68.85,135,14,0,4,0.51
235,Potter,Emergent,68.85,135,42,0,4,0.51
236,SoleSky,Emergent,68.85,135,14,0,4,0.51
237,Pxrmafrxstt,Pinnacle (Highest Skill),68.00,68,10,0,1,1.00
238,Haightful,Ascendant,67.84,106,12,0,3,0.64
239,offkilter,Ascendant,67.84,106,21,0,3,0.64
240,KfroJenner69,Ascendant,67.84,106,20,0,3,0.64
241,Diadem2721|Live,Ascendant,67.84,106,12,0,3,0.64
242,FALN | Stats,Challengers,67.65,165,29,0,5,0.41
243,EagleUSA,Challengers,67.65,165,27,0,5,0.41
244,Sithopher,Challengers,67.65,165,18,0,5,0.41
245,AngryS0da,Emergent,67.32,132,23,0,4,0.51
246,Enderphor,Challengers,67.24,164,44,0,5,0.41
247,1L Fallen,Vanguard,67.20,84,19,0,2,0.80
248,LVS_Falcon,Vanguard,66.40,83,11,0,2,0.80
249,Medic x Frieren,Vanguard,66.40,83,12,0,2,0.80
250,XEL.Bpsword.Twitch,Ascendant,65.92,103,14,0,3,0.64
251,CJtoSmooth,Ascendant,65.92,103,19,0,3,0.64
252,100T sheppyk9,Tendies (Lowest Skill),65.67,199,44,0,6,0.33
253,iiNovationii,Tendies (Lowest Skill),65.67,199,18,0,6,0.33
254,RAGNA_Viper,Tendies (Lowest Skill),65.67,199,43,0,6,0.33
255,DWE TTV Teach Da Youth,Challengers,65.19,159,21,0,5,0.41
256,JEK,Emergent,64.77,127,32,0,4,0.51
257,TsF MonTy,Tendies (Lowest Skill),64.68,196,27,0,6,0.33
258,Doctor Eloc,Tendies (Lowest Skill),64.68,196,49,0,6,0.33
259,[DAD] Nars Lootbaar,Tendies (Lowest Skill),64.68,196,20,0,6,0.33
